Relation: Name,Academic year,Academic period,Number,Total duration,Time unit,Relation: Relation type,Relation: Direction,Relation: Status,Relation: Subject area,Relation: Level,Relation: Degree programme,Relation: Relation ID,Remaining seats,Relation: External institutions
Exchange Student Undergraduate-Freie Universität Berlin-Universidad de los Andes-Outgoing,2019,First Semester 2019,4,"4,00",Academic period,Stay opportunity,Outgoing,Active,,Undergraduate / Bachelor,Anthropology Bsc|| Architecture Bsc|| Art History Bsc|| Arts Bsc|| Biology Bsc|| Microbiology Bsc|| Biomedical Engineering Bsc|| Chemical Engineering Bsc|| Chemistry Bsc|| Design Bsc|| Geosciences Bsc|| Government and Public Policy Bsc|| History Bsc|| Literature Bsc|| Industrial Engineering Bsc|| Languages and Culture Bsc|| Mathematics Bsc|| Music Bsc|| Philosophy Bsc|| Physics Bsc|| Political Science Bsc|| Psychology Bsc|| Economics Bsc|| Education Bsc / Arts|| Education Bsc / Early Childhood|| Education Bsc / Humanities|| Education Bsc / Mathematics|| Education Bsc / Biology|| Education Bsc / History|| Law Bsc|| Administration Bsc|| Systems and Computing Engineering Bsc|| Digital Narrative Bsc|| Education Bsc / Spanish and Philology|| Education Bsc / Philosophy|| Global Studies Bsc,74,0,"Freie Universität Berlin, Lateinamerika Institut-Freie Universität Berlin"
Exchange Student Undergraduate-FGV-Escola de Administracão de Empresas de São Paulo-School of Management-Outgoing,2018,Second Semester 2018,1,"1,00",Academic period,Stay opportunity,Outgoing,Silent,,Undergraduate / Bachelor,Administration Bsc,665,0,"Fundação Getulio Vargas, Fundação Getulio Vargas - Escola de Administracão de Empresas de São Paulo"
Exchange Student Undergraduate-FGV-Escola de Administracão de Empresas de São Paulo-School of Management-Outgoing,2019,First Semester 2019,1,"1,00",Academic period,Stay opportunity,Outgoing,Silent,,Undergraduate / Bachelor,Administration Bsc,665,0,"Fundação Getulio Vargas, Fundação Getulio Vargas - Escola de Administracão de Empresas de São Paulo"
Exchange Student Undergraduate-Georg-August-Universität Göttingen-School of Economics-Outgoing,2018,Second Semester 2018,3,"3,00",Academic period,Stay opportunity,Outgoing,Active,,Undergraduate / Bachelor,Economics Bsc,78,0,Georg-August-Universität Göttingen
Exchange Student Undergraduate-Georg-August-Universität Göttingen-School of Economics-Outgoing,2019,First Semester 2019,3,"3,00",Academic period,Stay opportunity,Outgoing,Active,,Undergraduate / Bachelor,Economics Bsc,78,3,Georg-August-Universität Göttingen
Exchange Student-Götegorgs Universitet-HDK School of Design and Crafts-School of Architecture and Design-Outgoing,2018,Second Semester 2018,2,"2,00",Academic period,Stay opportunity,Outgoing,Silent,,Undergraduate / Bachelor,Design Bsc,744,2,"Götegorgs Universitet-HDK HÖGSKOLAN FÖR DESIGN OCH KONSTHANTVERK, University of Gothenburg"
Exchange Student-Götegorgs Universitet-HDK School of Design and Crafts-School of Architecture and Design-Outgoing,2019,First Semester 2019,2,"2,00",Academic period,Stay opportunity,Outgoing,Silent,,Undergraduate / Bachelor,Design Bsc,744,2,"Götegorgs Universitet-HDK HÖGSKOLAN FÖR DESIGN OCH KONSTHANTVERK, University of Gothenburg"
Exchange Student Undergraduate-Grenoble Ecole de Management-School of Management-Outgoing,2018,Second Semester 2018,2,"2,00",Academic period,Stay opportunity,Outgoing,Active,,Undergraduate / Bachelor,Administration Bsc,561,2,Grenoble Ecole de Management
Exchange Student Undergraduate-Grenoble Ecole de Management-School of Management-Outgoing,2019,First Semester 2019,0,"0,00",Academic period,Stay opportunity,Outgoing,Active,,Undergraduate / Bachelor,Administration Bsc,561,0,Grenoble Ecole de Management
Exchange Student Undergraduate-Handelshøjskolen i København-School of Management-Outgoing,2018,Second Semester 2018,2,"2,00",Academic period,Stay opportunity,Outgoing,Active,,Undergraduate / Bachelor,Administration Bsc,887,1,Handelshøjskolen i København
Exchange Student Undergraduate-Handelshøjskolen i København-School of Management-Outgoing,2019,First Semester 2019,1,"1,00",Academic period,Stay opportunity,Outgoing,Active,,Undergraduate / Bachelor,Administration Bsc,887,0,Handelshøjskolen i København
